10 1168 3690 3068 3818 1390 1106 3043 2845 2210 2083 160 767 644 79 2964 1149 1978 4098 670 2518 1042 160 615 163 3886 2176 4717 4269 611 3240 81 79 3023 507 680 160 3718 3982 4370 2024 160 173 160 4858 1869 5208 160 3652 730 3807 497 4115 4181 4072 160 4060 4086 1883 4669 2424 1745 79 754 3762 1790 4071 590 82 1806 1855 5071 4282 79 160 79 2181 1719 2336 2134 160 1915 160 2027 179 592 91 3419 160 522 81 1677 79 3833 1506 1412 1742 161 1989 160 1918 
11 3802 4130 2198 776 2934 950 892 4344 177 177 562 2956 2368 177 4425 776 177 1871 1145 652 1500 2160 177 177 95 573 700 177 2498 681 2960 177 82 1149 925 2075 4164 95 177 177 5769 718 2280 962 4683 177 5405 686 1817 3182 2738 506 537 3723 3777 184 1925 935 177 177 177 178 177 177 2369 717 3075 3632 1098 177 736 3392 1817 1167 177 730 784 2076 1517 4928 611 1656 177 1164 628 2285 3477 783 4498 3852 2021 177 5220 82 2962 95 178 879 177 574 
12 2008 102 3937 868 2252 2254 182 80 2492 3273 695 102 1292 182 858 1758 182 2007 3186 2205 185 182 82 3359 1551 1138 2363 1600 1833 701 182 182 194 102 1175 182 196 102 1849 80 1263 1879 3010 3115 1434 80 182 715 182 3185 80 2524 102 182 182 182 1028 1703 3276 183 649 1652 1382 1802 182 3358 3326 1907 183 182 2285 1712 5681 724 923 603 182 182 823 182 4237 182 601 186 4464 1570 2096 182 80 432 708 3973 182 182 1889 2772 2926 182 3090 80 
13 172 89 89 1143 2503 902 89 538 172 2302 89 172 89 1196 3908 2223 172 2451 1863 4958 1629 4793 1305 968 83 2944 1426 172 1881 2030 172 172 691 3021 1222 4605 89 4623 89 1960 1621 172 172 2854 172 4429 3598 1613 4197 628 733 666 172 172 172 928 4294 1258 172 2088 454 1057 1841 2054 1708 83 2361 198 2232 172 703 172 797 2973 172 83 6023 89 172 4075 4349 2747 2430 172 495 2702 2647 4682 2323 172 172 2274 2572 4751 174 83 606 845 83 83 
14 165 1899 530 84 545 87 2470 1324 1929 2904 165 710 165 547 553 604 82 4592 2954 165 1325 2070 165 2937 165 2868 82 85 1254 165 165 2610 82 1033 621 631 165 4515 685 860 1360 4422 2119 920 1068 82 1187 1568 165 2261 165 2235 165 165 797 82 2484 1954 1833 1281 83 813 615 165 1405 1311 1605 2268 82 691 165 165 82 165 2138 516 83 1440 562 2972 83 1953 976 1017 2994 165 830 1564 628 2715 165 1010 2886 2613 165 3276 82 721 165 165 
15 743 3550 3414 95 2684 183 183 88 1236 908 183 183 1792 2031 452 1806 1396 3144 631 183 95 778 183 183 183 752 1777 183 551 183 183 183 183 2005 3716 3252 1002 3088 183 183 587 642 2050 3220 183 95 184 2806 2858 686 2022 95 2205 183 543 2078 183 3663 874 769 88 2213 88 183 183 183 183 2356 183 2203 183 2902 88 2124 3522 3271 183 183 1531 1271 88 1879 95 183 183 95 1313 183 3339 1704 917 953 834 910 1800 1694 2228 1721 183 941 
16 3810 521 677 160 4153 4306 947 2889 160 643 1476 160 160 518 2466 160 1485 1885 160 160 975 694 2529 474 160 160 160 81 3502 81 718 1546 590 2310 1907 2481 1206 1008 160 1776 972 2158 518 4891 1292 2431 2261 2274 1731 1990 1212 2016 160 81 79 3228 160 1781 160 160 2022 719 2253 3026 4353 160 160 160 4306 160 3892 160 81 621 79 750 160 160 160 160 1104 160 2220 1123 79 3314 1900 1856 160 551 160 83 81 1160 81 1532 3092 1816 1960 3212 
17 606 156 84 1097 1164 437 4521 2273 84 72 813 1564 72 1455 87 1102 156 72 1815 1661 156 72 1879 1483 529 159 677 2674 156 156 156 72 2083 156 3266 1049 156 631 1351 72 156 4172 156 1389 156 541 848 2754 163 1206 84 1560 156 156 72 156 156 156 88 1261 1609 3229 558 156 156 2554 630 156 3477 2911 2363 156 72 156 84 2620 84 3082 84 879 1670 1159 744 2516 1409 2472 758 156 156 654 165 161 84 634 84 156 156 2030 84 156 
18 484 2758 160 1148 736 160 532 82 3232 82 829 160 2632 2600 78 673 1719 160 3332 162 1246 1598 82 589 160 5072 2070 3130 160 1605 160 2317 721 1980 160 927 533 2152 82 2532 160 160 1591 160 2809 1078 160 1138 82 2025 82 164 498 160 160 160 3773 700 1976 2106 83 160 545 160 670 160 160 160 160 1266 637 79 1043 806 759 78 599 1251 2625 160 160 1988 972 170 484 537 2328 1933 619 82 4032 806 550 160 2209 1777 78 160 1248 2157 
19 155 997 504 155 155 3076 527 3089 645 61 94 1257 1471 155 155 611 155 2025 2069 1033 654 61 155 2408 65 94 521 844 571 2170 155 156 61 155 155 1915 61 600 155 159 155 1044 155 94 168 3522 746 981 1850 2341 904 96 155 3495 484 2211 522 94 1894 501 94 721 161 1714 1224 514 160 1451 159 155 1408 2948 155 3391 155 155 554 528 2206 3933 1391 929 1793 94 94 526 2162 94 2058 1457 948 527 61 155 4888 1189 155 509 864 893 
